Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C4",0603,2,10uF,C0603C104K5RECAUTO
"C10, C8",0603,2,22uF,CL10A226MP8NUNE
"C11, C18, C20, C22, C24",0603,5,100nF,CL10B104KA8NNNC
"C12, C15, C7",0603,3,1uF,CL10B105KP8NNNC
"C13, C14, C16, C17",0603,4,18pF,0603N180J500CT
"C19, C21, C23",0603,3,10nF,0603B183K500CT
"C2, C3, C5",0603,3,0.1uF,CL10B104KB8NNWC
C6,0603,1,6800pF,0603B682M500CT
C9,0603,1,1nF,C0603C102K4RECAUTO
D1,D_SMA,1,B340,B340AE
"D2, D3, D4, D5",0603,4,LED Low current,XZCM2CRK53WA-8VF
J1,Barrel_Jack_5.5mmODx2.1mmID_PJ-102A,1,PJ-102A,PJ-102A
J2,CONN_282834-3_TYC,1,~,282834-3
J3,CONN_3220-10-0100-00_CNC,1,Conn_ARM_JTAG_SWD_10,3220-10-0100-00
J4,PinHeader_1x04_P2.54mm_Vertical,1,0022232041,PPTC041LFBN
J5,CONN2_282834-2_TEC,1,~,282834-2
L1,IND_NR6028T4R7M,1,4.7uH,NR6028T4R7M
"R1, R17, R2, R6, R7",0603,5,10k,RMCF0201FT10K0
"R10, R11, R12, R13, R9",0603,5,50R,
R14,0603,1,1k6,
R15,0603,1,100R,
R16,0603,1,100k,
"R19, R20, R21",0603,3,750R,
R3,0603,1,430k,RC0603FR-07430KL
R4,0603,1,82k,RC0603FR-0782KL
"R5, R8",0603,2,60R,
S1,SW_L102021ML04Q,1,L102021ML04Q,
SW1,Switch_Tactile_SMD_6x6mm_PTS645,1,SW_SPST,
U1,HTSOP-J8_ROM,1,BD9E302EFJ-E2,
U2,ESP32-C3-MINI-1,1,ESP32-C3-MINI-1,
U3,DIP-8_W7.62mm,1,MCP2551-I-P,
U4,SOT-23-5,1,NCP718xSN330,
U5,LQFP-100_14x14mm_P0.5mm,1,LPC1768FBD100,
Y1,Crystal_SMD_Abracon_ABM3B-4Pin_5.0x3.2mm,1,12MHz/10pF,
Y2,Crystal_SMD_3215-2Pin_3.2x1.5mm,1,32.768kHz/9pF,
