Designator,Mid X,Mid Y,Rotation,Layer
C1,129.4,-110.395,0.0,top
C10,107.035,-109.4045,180.0,top
C11,100.33,-79.248,180.0,top
C12,108.217,-116.332,180.0,top
C13,106.204,-78.264,0.0,top
C14,106.204,-80.042,180.0,top
C15,105.169,-116.332,0.0,top
C16,120.65,-79.756,270.0,top
C17,117.602,-77.47,0.0,top
C18,107.7025,-91.4465,90.0,top
C19,107.7025,-88.3985,270.0,top
C2,129.4,-108.871,0.0,top
C20,117.856,-102.362,0.0,top
C21,121.412,-102.362,180.0,top
C22,130.048,-89.916,90.0,top
C23,131.572,-89.916,90.0,top
C24,114.808,-78.74,90.0,top
C3,124.053,-114.554,180.0,top
C4,143.256,-84.836,0.0,top
C5,143.256,-83.312,0.0,top
C6,118.973,-107.855,90.0,top
C7,137.922,-83.312,0.0,top
C8,112.5975,-106.8645,0.0,top
C9,97.536,-99.822,90.0,top
D1,128.905,-102.87,270.0,top
D2,112.522,-105.156,180.0,top
D3,100.139,-113.538,180.0,top
D4,94.234,-90.869,90.0,top
D5,94.234,-94.0055,270.0,top
J1,133.35,-124.285,180.0,top
J2,109.982,-123.19,0.0,top
J3,134.366,-77.978,180.0,top
J4,94.742,-118.354,180.0,top
J5,123.19,-123.19,0.0,top
L1,112.4905,-112.014,180.0,top
R1,121.4875,-105.5945,0.0,top
R10,130.556,-83.82,180.0,top
R11,122.428,-80.264,270.0,top
R12,127.254,-82.296,180.0,top
R13,123.952,-80.264,270.0,top
R14,110.236,-105.918,90.0,top
R15,105.664,-82.804,270.0,top
R16,100.33,-77.724,0.0,top
R17,100.838,-106.426,270.0,top
R19,100.139,-115.062,180.0,top
R2,136.398,-84.836,180.0,top
R20,95.758,-90.869,90.0,top
R21,95.758,-93.98,270.0,top
R3,117.449,-107.855,90.0,top
R4,118.1855,-105.5945,0.0,top
R5,97.536,-102.87,90.0,top
R6,130.556,-85.344,180.0,top
R7,133.096,-82.296,180.0,top
R8,96.012,-101.6,90.0,top
R9,123.19,-77.216,180.0,top
S1,137.9075,-109.728,90.0,top
SW1,101.346,-86.36,270.0,top
U1,123.926,-109.76,180.0,top
U2,142.834,-92.57,270.0,top
U3,108.448,-102.86,180.0,top
U4,106.1405,-112.8945,180.0,top
U5,118.81,-91.694,270.0,top
Y1,110.014,-80.296,90.0,top
Y2,118.364,-80.264,90.0,top
