Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0805,2,18pF,
"C10, C11, C12, C13, C6, C7, C8, C9",0805,8,0.01uF,
"C16, C18, C21, C22, C23, C24, C3, C4, C5",0805,9,100nF,
C19,0805,1,1nF,
C26,0603,1,10uF,C0603C104K5RECAUTO
"C27, C28",0603,2,0.1uF,CL10B104KB8NNWC
C29,0603,1,6800pF,0603B682M500CT
"C30, C31",0603,2,22uF,CL10A226MP8NUNE
"C32, C33",0603,2,1uF,CL10B105KP8NNNC
D4,0603,1,LED Low current,
D5,D_SMA,1,B340,B340AE
"D6, D7",0603,2,LED Low current,XZCM2CRK53WA-8VF
"J3, J5",Term_Block_1x3_P5mm,2,~,1935174
J6,PinHeader_1x4_P2.54mm_Drill1.02mm,1,0022232041,0022232041
J7,CONN_3220-10-0100-00_CNC,1,Conn_ARM_JTAG_SWD_10,3220-10-0100-00
"J8, J9",Term_Block_1x2_P5mm,2,OSTTC020162,OSTTC020162
L1,IND_NR6028T4R7M,1,4.7uH,NR6028T4R7M
"M1, M2, M3, M4",VID28-05,4,VID28-05,
"R10, R11, R12, R13, R29, R30, R6, R7, R8, R9",0805,10,10k,
"R17, R5",0805,2,60R,
R18,0805,1,100k,
R20,0805,1,100R,
R22,1206,1,750R,
"R23, R24, R31",0603,3,10k,RMCF0201FT10K0
R25,0603,1,430k,RC0603FR-07430KL
R26,0603,1,82k,RC0603FR-0782KL
R27,0603,1,1k6,
R28,0603,1,750R,
"R32, R33, R34",0603,3,50R,
SW1,SW_SPST_ SKRPASE010,1,SW_SPST,
U1,LQFP-48_7x7mm_P0.5mm,1,LPC11C24-LQFP48,
"U10, U11, U4, U5, U6, U7, U8, U9",SOT-23,8,DRV5033AJxDBZ,
U14,HTSOP-J8_ROM,1,BD9E302EFJ-E2,
U15,SOT-23-5,1,NCP718xSN330,
"U2, U3",SOIC-28W_7.5x18.7mm_P1.27mm,2,VID6606,
Y1,Crystal_SMD_HC49-SD,1,12MHz/12pF,
